Sr. no.,DO Sowing,DO Harvesting,No. of seeds,DO Germination,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds
56,12-01-2023,02-05-2023,15,08-05-2023,15,10-05-2023,15,17-05-2023,15,22-05-2023,15,24-05-2023,15,26-05-2023,15,29-05-2023,15,31-05-2023,15,02-06-2023,15,05-06-2023,15,07-06-2023,15,09-06-2023,15,12-06-2023,15
57,12-01-2023,02-05-2023,15,08-05-2023,2,10-05-2023,2,17-05-2023,2,22-05-2023,2,24-05-2023,2,26-05-2023,2,29-05-2023,2,31-05-2023,2,02-06-2023,3,05-06-2023,3,07-06-2023,3,09-06-2023,3,12-06-2023,15
58,12-01-2023,02-05-2023,18,08-05-2023,18,10-05-2023,18,17-05-2023,18,22-05-2023,18,24-05-2023,18,26-05-2023,18,29-05-2023,18,31-05-2023,18,02-06-2023,18,05-06-2023,18,07-06-2023,18,09-06-2023,18,12-06-2023,18
59,12-01-2023,02-05-2023,17,08-05-2023,10,10-05-2023,10,17-05-2023,10,22-05-2023,10,24-05-2023,10,26-05-2023,10,29-05-2023,10,31-05-2023,10,02-06-2023,10,05-06-2023,10,07-06-2023,10,09-06-2023,10,12-06-2023,17
60,12-01-2023,02-05-2023,15,08-05-2023,15,10-05-2023,15,17-05-2023,15,22-05-2023,15,24-05-2023,15,26-05-2023,15,29-05-2023,15,31-05-2023,15,02-06-2023,15,05-06-2023,15,07-06-2023,15,09-06-2023,15,12-06-2023,15
61,12-01-2023,02-05-2023,15,08-05-2023,15,10-05-2023,15,17-05-2023,15,22-05-2023,15,24-05-2023,15,26-05-2023,15,29-05-2023,15,31-05-2023,15,02-06-2023,15,05-06-2023,15,07-06-2023,15,09-06-2023,15,12-06-2023,15
62,12-01-2023,02-05-2023,16,08-05-2023,8,10-05-2023,8,17-05-2023,9,22-05-2023,9,24-05-2023,9,26-05-2023,9,29-05-2023,9,31-05-2023,9,02-06-2023,9,05-06-2023,9,07-06-2023,9,09-06-2023,9,12-06-2023,16
63,12-01-2023,02-05-2023,16,08-05-2023,3,10-05-2023,4,17-05-2023,4,22-05-2023,4,24-05-2023,4,26-05-2023,4,29-05-2023,4,31-05-2023,4,02-06-2023,4,05-06-2023,4,07-06-2023,4,09-06-2023,4,12-06-2023,16
64,12-01-2023,02-05-2023,0,08-05-2023,0,10-05-2023,0,17-05-2023,0,22-05-2023,0,24-05-2023,0,26-05-2023,0,29-05-2023,0,31-05-2023,0,02-06-2023,0,05-06-2023,0,07-06-2023,0,09-06-2023,0,12-06-2023,0
65,12-01-2023,02-05-2023,15,08-05-2023,15,10-05-2023,15,17-05-2023,15,22-05-2023,15,24-05-2023,15,26-05-2023,15,29-05-2023,15,31-05-2023,15,02-06-2023,15,05-06-2023,15,07-06-2023,15,09-06-2023,15,12-06-2023,15
