name,sowing_date,harvesting_date,total_seeds,date_of_germination,number_of_seeds
rill_no_118,12-01-2023,02-05-2023,12,09-06-2023,12
rill_no_118,12-01-2023,02-05-2023,12,12-06-2023,12
rill_no_119,12-01-2023,02-05-2023,15,08-05-2023,1
rill_no_119,12-01-2023,02-05-2023,15,10-05-2023,2
rill_no_119,12-01-2023,02-05-2023,15,17-05-2023,3
rill_no_119,12-01-2023,02-05-2023,15,22-05-2023,3
rill_no_119,12-01-2023,02-05-2023,15,24-05-2023,3
rill_no_119,12-01-2023,02-05-2023,15,26-05-2023,3
rill_no_119,12-01-2023,02-05-2023,15,29-05-2023,3
rill_no_119,12-01-2023,02-05-2023,15,31-05-2023,3
rill_no_119,12-01-2023,02-05-2023,15,02-06-2023,4
rill_no_119,12-01-2023,02-05-2023,15,05-06-2023,4
rill_no_119,12-01-2023,02-05-2023,15,07-06-2023,6
rill_no_119,12-01-2023,02-05-2023,15,09-06-2023,6
rill_no_119,12-01-2023,02-05-2023,15,12-06-2023,15
rill_no_12,12-01-2023,02-05-2023,21,08-05-2023,21
rill_no_12,12-01-2023,02-05-2023,21,10-05-2023,21
rill_no_12,12-01-2023,02-05-2023,21,17-05-2023,21
rill_no_12,12-01-2023,02-05-2023,21,22-05-2023,21
rill_no_12,12-01-2023,02-05-2023,21,24-05-2023,21
rill_no_12,12-01-2023,02-05-2023,21,26-05-2023,21
rill_no_12,12-01-2023,02-05-2023,21,29-05-2023,21
rill_no_12,12-01-2023,02-05-2023,21,31-05-2023,21
rill_no_12,12-01-2023,02-05-2023,21,02-06-2023,21
rill_no_12,12-01-2023,02-05-2023,21,05-06-2023,21
rill_no_12,12-01-2023,02-05-2023,21,07-06-2023,21
rill_no_12,12-01-2023,02-05-2023,21,09-06-2023,21
rill_no_12,12-01-2023,02-05-2023,21,12-06-2023,21
rill_no_120,12-01-2023,02-05-2023,10,08-05-2023,9
rill_no_120,12-01-2023,02-05-2023,10,10-05-2023,9
rill_no_120,12-01-2023,02-05-2023,10,17-05-2023,10
rill_no_120,12-01-2023,02-05-2023,10,22-05-2023,10
rill_no_120,12-01-2023,02-05-2023,10,24-05-2023,10
rill_no_120,12-01-2023,02-05-2023,10,26-05-2023,10
rill_no_120,12-01-2023,02-05-2023,10,29-05-2023,10
rill_no_120,12-01-2023,02-05-2023,10,31-05-2023,10
rill_no_120,12-01-2023,02-05-2023,10,02-06-2023,10
rill_no_120,12-01-2023,02-05-2023,10,05-06-2023,10
rill_no_120,12-01-2023,02-05-2023,10,07-06-2023,10
rill_no_120,12-01-2023,02-05-2023,10,09-06-2023,10
rill_no_120,12-01-2023,02-05-2023,10,12-06-2023,10
rill_no_121,12-01-2023,02-05-2023,15,08-05-2023,15
rill_no_121,12-01-2023,02-05-2023,15,10-05-2023,15
rill_no_121,12-01-2023,02-05-2023,15,17-05-2023,15
rill_no_121,12-01-2023,02-05-2023,15,22-05-2023,15
rill_no_121,12-01-2023,02-05-2023,15,24-05-2023,15
rill_no_121,12-01-2023,02-05-2023,15,26-05-2023,15
rill_no_121,12-01-2023,02-05-2023,15,29-05-2023,15
rill_no_121,12-01-2023,02-05-2023,15,31-05-2023,15
rill_no_121,12-01-2023,02-05-2023,15,02-06-2023,15
rill_no_121,12-01-2023,02-05-2023,15,05-06-2023,15
rill_no_121,12-01-2023,02-05-2023,15,07-06-2023,15
rill_no_121,12-01-2023,02-05-2023,15,09-06-2023,15
rill_no_121,12-01-2023,02-05-2023,15,12-06-2023,15
rill_no_122,12-01-2023,02-05-2023,12,08-05-2023,12
rill_no_122,12-01-2023,02-05-2023,12,10-05-2023,12
rill_no_122,12-01-2023,02-05-2023,12,17-05-2023,12
rill_no_122,12-01-2023,02-05-2023,12,22-05-2023,12
rill_no_122,12-01-2023,02-05-2023,12,24-05-2023,12
rill_no_122,12-01-2023,02-05-2023,12,26-05-2023,12
rill_no_122,12-01-2023,02-05-2023,12,29-05-2023,12
rill_no_122,12-01-2023,02-05-2023,12,31-05-2023,12
rill_no_122,12-01-2023,02-05-2023,12,02-06-2023,12
rill_no_122,12-01-2023,02-05-2023,12,05-06-2023,12
rill_no_122,12-01-2023,02-05-2023,12,07-06-2023,12
rill_no_122,12-01-2023,02-05-2023,12,09-06-2023,12
rill_no_122,12-01-2023,02-05-2023,12,12-06-2023,12
rill_no_123,12-01-2023,02-05-2023,16,08-05-2023,3
rill_no_123,12-01-2023,02-05-2023,16,10-05-2023,3
rill_no_123,12-01-2023,02-05-2023,16,17-05-2023,3
rill_no_123,12-01-2023,02-05-2023,16,22-05-2023,3
